し,タイトル,作者・画,作者・原作,掲載誌,13093,完結,ジャンル,タグ,他メディア
ああいちろう,ああ一郎,こせきこうじ ,,,5,完結,スポーツ,柔道,
あぁいとしのばんちょうさま,あぁ愛しの番長さま,あぁいとしの,,,5,,コメディー,学園,
ああきゅうしゃかい,嗚呼! 旧車會,旭凛太郎 ,岩橋健一郎,ヤングチャンピオン,4,完結,ドラマ,車 走り屋,
あーくざらっどすりーよんこままんがげきじょう,アークザラッド３　4コママンガ劇場,アンソロジー,,,1,完結,４コマ,,
あーくざらっどつーよんこままんがげきじょう,アークザラッド2　4コママンガ劇場,アンソロジー,,,2,完結,４コマ,,
あーさーぐれーす,アーサーGARAGE,たーし,,ヤングマガジン,5,完結,ドラマ,車 中古車販売,
あーさーびゅーてぃーはよるのまじょ,アーサー・ピューティーは夜の魔女,木々津克久,,,1,,ホラー,,
あーしあん,アーシアン,高河ゆん,,,4,,,,ア
あーすふろんてぃあへようこそ,アース・フロンティアへようこそ☆,あいざわひろし,,,1,,ファンタジー,,
ああせいしゅんのこうしえん,ああ青春の甲子園,あだち充,,,7,完結,スポーツ,野球,
ああたんていじむしょ,ああ探偵事務所,関崎俊三,,,15,完結,コメディー,探偵,ド
ああっめがみさまっ,ああっ女神さまっ,藤島康介 ,,アフタヌーン,41,,ファンタジー 恋愛,女神 ハーレム,ア
ああどすこいじごろ,嗚呼どす恋ジゴロ,平松伸二,,週刊漫画ゴラク,2,完結 続編,スポーツ,相撲,
ああはなのしんこいわさんちょうめ,嗚呼　花の新小岩３丁目,もりたじゅん ,,	マーガレット,1,完結,短篇集,,
ああはりまなだ,ああ播磨灘,さだやす圭,,,28,完結 続編あり,スポーツ,相撲,ア ゲ
あーむず,ARMS,皆川亮二,七月鏡一,,22,完結,SF アクション,,ゲ ア
あーむどあーむ,アームドアーム,橋本還,,ヤングキング,2,,,,
ああゆうてんじけ,嗚呼！　祐天寺家,亜月裕 ,,パーティー,5,,コメディー,,
あーるおーでぃーりーどおあだい,R.O.D -READ OR DIE-,山田秋太郎,倉田英之,,4,完結,ファンタジー,,小 ア
あーるくろにくるぷれりゅーど,Rくろにくる－prelude－,あづまゆき,数多ヒロ,,1,完結,ファンタジー,,
あーるじゅうはち,R-18 Love Report,すぎ恵美子,,,4,完結,,,
あーるじゅうろく,R-16,桑原真也,佐木飛朗斗,,12,完結,,,
あーるつー,R2,箱田真紀,,,2,,,,
あい,あい。,仙道ますみ,,,11,,,,
あいあむあひーろー,アイアムアヒーロー,花沢健吾,,,6,,,漫画家,
あいあむまっこい,I am マッコイ,小林まこと,,週刊少年マガジン,3,完結,コメディー,,
あいあんばーじんじゅん,鉄の処女ジュン,永井豪,,,1,,,,
あいいろでんせつ,藍色伝説 ,高階良子 ,,ミステリーボニータ,1,,,,
あいうえおぼーい,Ｉ・飢男,池上遼一 松久鷹人,小池一夫,,8,,ドラマ,復讐,
あいえすおとこでもおんなでもないせい, ＩＳ～男でも女でもない性 ,六花チヨ,,,17,,ドラマ,医療 インターセクシャル,ド
あいえぬにじゅうさんえいち,IN23H,なかざき冬,,,1,,,,
あいえる,I.L (アイエル),手塚治虫 ,,,2,完結,サスペンス,,
あいおれだんしこうのひめとじょしこうのおうじ,愛俺! 〜男子校の姫と女子校の王子〜,新條まゆ,,,4,,,愛を歌うより俺に溺れろ!の続編,
あいがーる,愛†少女,すぎ恵美子,,,4,,,,
あいがあればいーのだ,愛があればいーのだ,いくえみ綾,,,2,完結,,,
あいかぞく,愛・家族,ふうたまろ ,,,1,完結,短篇集,,
あいがとまらない,AIがとまらない,赤松健,,,9,完結,SF,コンピューター,
あいがゆく,愛がゆく,小山ゆう,,,12,完結,SF,,
あいがゆくえふめい,愛が行方不明 ,牧村ジュン,パトリシア・ノール,,1,完結,恋愛,,
あいき,愛気,ISUTOSHI,,,11,,格闘,,
あいきゅー,I.Q,友美イチロウ,,デザート,3,完結,ラブコメ,,
あいこくせんそう,哀国戦争,伊賀和洋,小池一夫,,4,完結,戦争,,
あいこら,あいこら,井上和郎,,,12,,ラブコメ,ハーレム,
あいさずにはいられない,愛さずにはいられない,松本美緒 ,,別冊フレンド,2,完結,恋愛,,
あいされじょうずけいかく,愛され上手計画 ,天丸ゆう,,,1,完結,短篇集,,
あいざわけのえとせとら,相沢家のエトセトラ,真木たつや,,,1,,4コマ,,
あいしあうことしかできない,愛しあう事しかできない,桜沢エリカ,,,1,,恋愛 ドラマ,,
あいしあってるかい,愛しあってるかい!?,草薙竜樹 ,,,1,完結,,,
あいしーるどにじゅういち,アイシールド21,村田雄介,稲垣理一郎,,37,完結,スポーツ コメディー,アメリカンフットボール,ア
あいしかたもわからずに,愛し方も分からずに ,青木琴美 ,,少女コミック,1,完結,恋愛,,
あいしすぎたおとこ,愛しすぎた男,今道杏子 ,,,1,完結,短篇集,,
あいしてそうろう,愛して候,日高七緒 ,,,2,完結,恋愛,,
あいしてないと,愛してナイト,多田かおる,,,7,完結,恋愛,,ア
あいしてる,あいしてる,守村大 ,,モーニング,26,,恋愛,,
あいしてる,愛してる,もりたゆうこ ,,Kiss,6,完結,サスペンス,,
あいしてるかいよう,アイシテル　～海容～,伊藤実 ,,ＢＥ・ＬＯＶＥ,2,完結,サスペンス,,ド
あいしてるきずな,アイシテル　～絆～,伊藤実 ,,ＢＥ・ＬＯＶＥ,2,完結,サスペンス,,
あいしてるぜべいべ,愛してるぜベイベ★★,槙ようこ,,,7,完結,ドラマ,,ア
あいしぬいてもいいですか,愛しぬいてもいいですか,箕野希望 ,,,1,完結,短篇集,,
あいじゃたりない,愛じゃたりない？,ほり恵利織,,	ミッシィヤングラブコミックス,1,完結,恋愛,,
あいしゃるりたーん,愛しゃるリターン,三浦みつる,,,6,完結,ラブコメ,,
あいしょうじょ,愛＋少女,すぎ恵美子,,Cheese!,4,,,,
あいしりそめしころに,愛…知りそめし頃に…,藤子不二雄A,,,9,,ドラマ,漫画家,
あいじん,愛人,柳沢きみお,,,8,完結,恋愛,,
あいじんいたいほどあいして,愛人～痛いほど愛して～ ,わたなべ志穂,,Cheese!,1,完結,短篇集,,
あいじんしがんらくだいせい,愛人志願落第生 ,くさか里樹,,,1,完結,短篇集,,
あいじんせんか,アイジン専科 ,北里千寿,,,1,完結,短篇集,,
あいじんたち,愛人たち,里中満智子 ,,,5,完結,恋愛,,
あいす,ICE,浜口奈津子 ,,,4,完結,恋愛,,
あいず,"I""s",桂正和,,,15,完結,恋愛 ドラマ,,小 ア ゲ
あいすえいじ,アイスエイジ,もんでんあきこ ,,コーラス,10,,ドラマ,教師,
あいすえいじつー,アイスエイジII,もんでんあきこ ,,コーラス,3,,ドラマ,教師,
あいすぺ,あいすぺ@,武田みか,雨野智晴,,2,,,,
あいすべきむすめたち,愛すべき娘たち,よしながふみ,,,1,,,,
あいすまん,アイスマン,くじらいいく子,,,4,完結,スポーツ,アイスホッケー,
あいするおにいさん,愛するお兄さん ,宮下キツネ,,,1,完結,恋愛,,
あいするひと,愛人,吉原由起,,,4,,,,
あいずわたしのなかにたにんがいる,Ｉ’ｓ私の中に他人がいる!!,庄司陽子 ,,ＢＥ・ＬＯＶＥ,3,完結,サスペンス,多重人格,
あいぜんふぁうすとてんぽうにんじゃでん,アイゼンファウスト天保忍者伝,長谷川哲也,山田風太郎,,4,,時代劇,忍者,小
あいそうじん,愛想人 ～SEX Friend～,わたなべ志穂,,Cheese!,1,完結,短篇集,,
あいたま,あいたま,師走冬子,,,5,,コメディー,,
あいだろ,愛だろ ,小田三月 ,,,1,完結,アンソロジー,,
あいつ,あいつ,飯野恵子 ,,,3,完結,恋愛,,
あいつがまほうつかい,あいつが魔法使い!,飯坂友佳子,,,1,,短篇集,,
あいつとららばい,あいつとララバイ,楠みちはる,,週刊少年マガジン,39,完結,ラブコメ,バイク,
あいつはあいんしゅたいん,あいつはアインシュタイン,石垣ゆうき,宮崎まさる,,3,,ドラマ,科学者,
あいでぃー,i.d. ,岸虎次郎,,,1,,ドラマ,,モデル
あいとふくしゅうのばんか,愛と復讐の挽歌,勘崎順次,倉科遼,,6,,,,
あいとまこと,愛と誠,ながやす巧,梶原一騎,,16,完結,恋愛,,ド 映
あいとよくぼうのらせん,愛と復讐の挽歌,冬森雪湖,,,8,,,,
あいどるえーす,アイドルＡ,あだちみつる,,,1,,スポーツ,野球,
あいどるえっちひめこのひみつ,アイドルＨ　ヒメコの秘密,ひのき一志,,コミックＧＡ,3,完結,コメディー,芸能界 アイドル,
あいどるとぅないと,アイドル to NIGHT！,佐野タカシ,,,1,,コメディー,芸能界 アイドル,
あいどるのあかほん,アイドルのあかほん,氏家ト全,,,1,完結,コメディー,芸能界 アイドル,
あいどるますたーぶれいく,アイドルマスターブレイク！,藤真拓哉,,,3,完結,ドラマ,芸能界 アイドル,
あいどるますたーゆあめっせーじ,アイドルマスターユアメッセージ,草壁レイ,,,1,,ドラマ,芸能界 アイドル,
あいどるますたーりれーしょんず,アイドルマスター relations,上田夢人,,,2,完結,ドラマ,芸能界 アイドル,
あいどるをさがせ,アイドルを探せ,吉田まゆみ,,ｍｉｍｉ,10,完結,恋愛,,
あいどんとこい,愛DON’T恋,中西やすひろ,,ヤングキング,10,完結,恋愛,,
あいのうたになりたい,愛の歌になりたい,麻原いつみ,,少女コミック,6,完結,恋愛,音楽,
あいのかめん,愛の仮面,三浦浩子,,,3,,恋愛,,
あいのこえ,アイノコエ,葉月かなえ,,,1,完結,短篇集,,
あいのことば,アイノコトバ,杉山美和子,,,1,完結,短篇集,,
あいのじだい,愛の時代,里中満智子 ,,,5,完結,恋愛,,
あいのために,愛のために,河原和音,,,1,完結,短篇集,,
あいのちから,ＡＩ・ノチカラ,いずみ哨,,,3,,恋愛,,
あいのてつじん,愛の鉄人,克本かさね,,恋愛LoveMAX,3,完結,恋愛,,
あいのはてに,愛の果てに,ありさか邦,,,4,,サスペンス,,
あいのふじつぼ,愛のふじつぼ,こいずみまり,,,2,完結,4コマ,,
あいのようにおどりなさい,愛のように幻想りなさい,石塚夢見,,プチコミック ,5,完結,恋愛,,
あいはかげろう,アイはカゲロウ,瀬口たかひろ,,,2,完結,ファンタジー,,
あいぱと,AI:ぱと!,やぎさわ景一,,,1,,SF,警察 警察官,
あいひかりとみずのだふね,アイ～光と水のダフネ～,士貴智志,,,1,完結,コメディー SF,,ア
あいひとつまさこ,愛ひとつ晶子,庄司陽子 ,,ヤングレディ,3,完結,恋愛,,
あいひめ,あいひめ,みつきかこ,,,3,完結,恋愛,,
あいむなむ,I'mナム,細野不二彦,,,3,完結,ファンタジー コメディー,,
あいよりあおし,藍より青し,文月晃,,,17,完結,恋愛,,ア ゲ
あいらぶはー,I LOVE HER,いくえみ稜,,,5,完結,,,
あいらぶべーすぼーる,I Love Baseball,水島新司,,ヤングチャンピオン,1,完結,,野球,
あいらぶゆー,I LOVE YOU,高瀬由香 ,,,6,完結,恋愛,,
あいらぶゆーといってくれ,愛羅武勇と言ってくれ！,たまきちひろ ,,恋愛LoveMAX,2,完結,恋愛,,
あいりきかふぇてりあ,愛カフェテリア　～いい男だらけの大学恋愛物語～ ,克本かさね,,恋愛LoveMAX,1,,恋愛,,
あいりすぜろ,アイリスZERO,	蛍たかな,	ピロ式,,4,,ファンタジー,,
あいりんどりーむ,あいりんドリーム,猫部ねこ,,,3,,コメディー,,
あいる,I'll,浅田弘幸,,,14,,,,
あいれん,愛人,田中ユタカ,,,5,,SF,,
あうたーぞーん,アウターゾーン,光原伸,,,15,完結,,,
あうとらんだーず,アウトランダーズ,真鍋譲治,,,8,完結,SF,,ア ゲ
あうとろー,OUT LAW,国友やすゆき,,,2,,ドラマ,弁護士,
あうとろー,アウトロー,コウノコウジ,木内一雅,,14,完結,ドラマ,野球 少年野球 監督,
あうとろーすたー,OUTLAW STAR,伊東岳彦,,,3,,,SF,
あおいうみのさしみ,青い海のサシミ,西川伸司,,,2,,ファンタジー,人魚,
あおいことしたい,AOI・こと・したい,すぎ恵美子,,少女コミック,6,完結,恋愛,,
あおいさまがいかせてあげる,葵さまがイかせてアゲル,水平きき,,,2,,,,
あおいしろかえいしょう,アオイシロ-花影抄-,片瀬優,麗川智之,,3,,,,
あおいそらのねおすふぃあ,蒼い空のネオスフィア,海野智,,,1,,,,
あおいちゃんとやまとくん,あおいちゃんとヤマトくん,師走冬子,,,4,,4コマ,,
あおいちゃんぱにっく,あおいちゃんパニック！,竹本泉,,,4,完結,SF,,
あおいとりしょうこうぐん,青い鳥症候群,河野やす子,,,10,,サスペンス,詐欺師,
あおいのゆうわく,碧いの誘惑,氷室芹夏,,,2,,,,
あおいはな,青い花,志村貴子,,,5,,,,
あおいふたり,青いふたり,椎名軽穂,,,1,完結,短篇集,,
あおいほのお,アオイホノオ,島本和彦,,,4,,,,
あおきうちゅうよりきみへ,蒼き宇宙より君へ,志水圭 ,,,10,,SF,,
あおきしんわまるす,蒼き神話マルス,本島幸久,,,13,完結,ドラマ,競馬 馬 ギャンブル,
あおきはがねのあるぺじお,蒼き鋼のアルペジオ,Ark Performance,,,3,,SF,,
あおきほのお,蒼き炎,石川サブロウ,,,12,完結,ドラマ,美術 画家,
あおきほのお,青き炎,柳沢きみお,,,6,,サスペンス,,
あおぞらいっぱいのらくがき,青空いっぱいのらくがき,立原あゆみ,,,3,完結,,,
あおぞらえーる,青空エール,河原和音,,,7,,ドラマ,音楽 トランペット 文化部 吹奏楽部,
あおぞらにとおくさけびたり,青空にとおく酒浸り,安永航一郎,,,3,,,,
あおぞらふろっぴぃ,青空ふろっぴぃ,細野不二彦,,,6,完結,スポーツ,サッカー,
あおになれ,青になれ！,倉持知子 ,,,4,完結 続編あり,スポーツ,バスケットボール,
あおになれこうこうへん,青になれ！ 高校編,倉持知子 ,,,5,完結 続編,スポーツ,バスケットボール,
あおのえくそしすと,青の祈祷師,加藤和恵,,,7,,ファンタジー,修道院 祓魔師,ア
あおのぐんぞう,青の群像,金子節子 ,,	Eleganceイブ,5,完結 続編あり,ドラマ,双子,
あおのぐんぞうけっこんじだい,青の群像　～結婚時代～,金子節子 ,,	Eleganceイブ,6,完結 続編,恋愛,,
あおのさんくとぅす,蒼のサンクトゥス,やまむらはじめ,,,5,,SF,,
あおのふういん,蒼の封印,篠原千絵 ,,少女コミック,11,,サスペンス,,
あおのみれにあむ,蒼のミレニアム,杜野亜希,,,6,,,,
